dataset,configuration,seed,model,batch_frac,n_layers,entangle,encoding_strategy,n_qubits,n_params,cnot_count,attribute,spd,eod,aod,trace_distance_input,qsp_diff_output,is_bias_pair_candidate
german_credit,L1_all_to_all,17,MLP,0.25,1,all_to_all,single,9,18,36,overall,-0.0091185410334346,0.0147058823529411,-0.0046172315079878,0.0362931082040149,0.0444004695008941,False
german_credit,L1_all_to_all,27,RandomForest,0.25,1,all_to_all,single,9,18,36,age,0.1798520204894707,0.2545638945233266,0.1627757744221571,0.0543057302234549,0.0060305187613589,False
german_credit,L1_all_to_all,27,RandomForest,0.25,1,all_to_all,single,9,18,36,sex,0.177432238138346,0.144570707070707,0.1927857925169163,0.0543057302234549,0.0060305187613589,False
german_credit,L1_all_to_all,27,RandomForest,0.25,1,all_to_all,single,9,18,36,overall,0.1688829787234042,0.1722408026755852,0.171124410960888,0.0543057302234549,0.0060305187613589,False
german_credit,L1_all_to_all,27,XGBoost_stub,0.25,1,all_to_all,single,9,18,36,age,0.206439547930726,0.114604462474645,0.2276726016076928,0.0543057302234549,0.0060305187613589,False
german_credit,L1_all_to_all,27,XGBoost_stub,0.25,1,all_to_all,single,9,18,36,sex,0.2172107140955322,0.2895202020202021,0.1866828402550527,0.0543057302234549,0.0060305187613589,False
german_credit,L1_all_to_all,27,XGBoost_stub,0.25,1,all_to_all,single,9,18,36,overall,0.2104863221884498,0.212597547380156,0.2065393510758037,0.0543057302234549,0.0060305187613589,False
german_credit,L1_all_to_all,27,MLP,0.25,1,all_to_all,single,9,18,36,age,0.0,0.0,0.0,0.0543057302234549,0.0060305187613589,False
german_credit,L1_all_to_all,27,MLP,0.25,1,all_to_all,single,9,18,36,sex,0.0,0.0,0.0,0.0543057302234549,0.0060305187613589,False
german_credit,L1_all_to_all,27,MLP,0.25,1,all_to_all,single,9,18,36,overall,0.0,0.0,0.0,0.0543057302234549,0.0060305187613589,False
german_credit,L2_all_to_all,7,RandomForest,0.25,2,all_to_all,single,9,36,72,age,0.0065359477124183,0.0478991596638655,-0.0052170868347338,0.1916006054791534,0.1818045533917255,False
german_credit,L2_all_to_all,7,RandomForest,0.25,2,all_to_all,single,9,36,72,sex,0.021948160535117,-0.0407407407407407,0.0389903602232369,0.1916006054791534,0.1818045533917255,False
german_credit,L2_all_to_all,7,RandomForest,0.25,2,all_to_all,single,9,36,72,overall,0.0341945288753799,0.0146520146520146,0.0335785811077506,0.1916006054791534,0.1818045533917255,False
german_credit,L2_all_to_all,7,XGBoost_stub,0.25,2,all_to_all,single,9,36,72,age,-0.0078431372549019,-0.0918767507002801,-0.0086834733893557,0.1916006054791534,0.1818045533917255,False
german_credit,L2_all_to_all,7,XGBoost_stub,0.25,2,all_to_all,single,9,36,72,sex,-0.1120401337792642,-0.1578042328042328,-0.0977377328404726,0.1916006054791534,0.1818045533917255,False
german_credit,L2_all_to_all,7,XGBoost_stub,0.25,2,all_to_all,single,9,36,72,overall,-0.0942249240121579,-0.1328449328449328,-0.0839241822769619,0.1916006054791534,0.1818045533917255,False
german_credit,L2_all_to_all,7,MLP,0.25,2,all_to_all,single,9,36,72,age,0.0,0.0,0.0,0.1916006054791534,0.1818045533917255,False
german_credit,L2_all_to_all,7,MLP,0.25,2,all_to_all,single,9,36,72,sex,0.0,0.0,0.0,0.1916006054791534,0.1818045533917255,False
german_credit,L2_all_to_all,7,MLP,0.25,2,all_to_all,single,9,36,72,overall,0.0,0.0,0.0,0.1916006054791534,0.1818045533917255,False
german_credit,L2_all_to_all,17,RandomForest,0.25,2,all_to_all,single,9,36,72,age,0.0262622977477843,0.1073563218390803,0.0084941782355575,0.0785424617759317,0.0468676898446393,False
german_credit,L2_all_to_all,17,RandomForest,0.25,2,all_to_all,single,9,36,72,sex,0.0054848500985142,-0.0834013605442177,0.0185452213672353,0.0785424617759317,0.0468676898446393,False
german_credit,L2_all_to_all,17,RandomForest,0.25,2,all_to_all,single,9,36,72,overall,0.024886018237082,-0.0289449112978524,0.0334082350889073,0.0785424617759317,0.0468676898446393,False
german_credit,L2_all_to_all,17,XGBoost_stub,0.25,2,all_to_all,single,9,36,72,age,-0.0005691519635742,0.0620689655172412,-0.0052209284967906,0.0785424617759317,0.0468676898446393,False
german_credit,L2_all_to_all,17,XGBoost_stub,0.25,2,all_to_all,single,9,36,72,sex,0.0518131955908195,0.1044897959183673,0.0409744061559049,0.0785424617759317,0.0468676898446393,False
german_credit,L2_all_to_all,17,XGBoost_stub,0.25,2,all_to_all,single,9,36,72,overall,0.0562310030395136,0.1119281045751633,0.0402654651604231,0.0785424617759317,0.0468676898446393,False
german_credit,L2_all_to_all,17,MLP,0.25,2,all_to_all,single,9,36,72,age,0.0109765021546467,0.028735632183908,0.0246492013733393,0.0785424617759317,0.0468676898446393,False
german_credit,L2_all_to_all,17,MLP,0.25,2,all_to_all,single,9,36,72,sex,0.0231641727461526,0.0333333333333333,0.0365437158469945,0.0785424617759317,0.0468676898446393,False
german_credit,L2_all_to_all,17,MLP,0.25,2,all_to_all,single,9,36,72,overall,0.0227963525835866,0.0367647058823529,0.0352583341028719,0.0785424617759317,0.0468676898446393,False
german_credit,L2_all_to_all,27,RandomForest,0.25,2,all_to_all,single,9,36,72,age,0.1593625498007968,0.1647058823529411,0.1564270152505446,0.2076821949251603,0.0693976775921815,False
german_credit,L2_all_to_all,27,RandomForest,0.25,2,all_to_all,single,9,36,72,sex,0.1256722935193567,0.1441919191919192,0.117311060561719,0.2076821949251603,0.0693976775921815,False
german_credit,L2_all_to_all,27,RandomForest,0.25,2,all_to_all,single,9,36,72,overall,0.1557750759878419,0.1710144927536232,0.1484583289750473,0.2076821949251603,0.0693976775921815,False
german_credit,L2_all_to_all,27,XGBoost_stub,0.25,2,all_to_all,single,9,36,72,age,0.1593625498007968,0.1647058823529411,0.1564270152505446,0.2076821949251603,0.0693976775921815,False
german_credit,L2_all_to_all,27,XGBoost_stub,0.25,2,all_to_all,single,9,36,72,sex,0.1256722935193567,0.1441919191919192,0.117311060561719,0.2076821949251603,0.0693976775921815,False
german_credit,L2_all_to_all,27,XGBoost_stub,0.25,2,all_to_all,single,9,36,72,overall,0.1557750759878419,0.1710144927536232,0.1484583289750473,0.2076821949251603,0.0693976775921815,False
german_credit,L2_all_to_all,27,MLP,0.25,2,all_to_all,single,9,36,72,age,0.0,0.0,0.0,0.2076821949251603,0.0693976775921815,False
german_credit,L2_all_to_all,27,MLP,0.25,2,all_to_all,single,9,36,72,sex,0.0,0.0,0.0,0.2076821949251603,0.0693976775921815,False
german_credit,L2_all_to_all,27,MLP,0.25,2,all_to_all,single,9,36,72,overall,0.0,0.0,0.0,0.2076821949251603,0.0693976775921815,False
german_credit,L2_re_upload,7,RandomForest,0.25,2,linear,re_upload,9,36,16,age,0.0143790849673202,0.0624649859943977,0.0206932773109243,0.255018372605712,0.0155459419875446,False
german_credit,L2_re_upload,7,RandomForest,0.25,2,linear,re_upload,9,36,16,sex,0.1350334448160535,0.146031746031746,0.1333278973689932,0.255018372605712,0.0155459419875446,False
german_credit,L2_re_upload,7,RandomForest,0.25,2,linear,re_upload,9,36,16,overall,0.0961246200607902,0.1398046398046398,0.0874040357568154,0.255018372605712,0.0155459419875446,False
german_credit,L2_re_upload,7,XGBoost_stub,0.25,2,linear,re_upload,9,36,16,age,0.1450980392156862,0.2058823529411764,0.1522058823529412,0.255018372605712,0.0155459419875446,False
german_credit,L2_re_upload,7,XGBoost_stub,0.25,2,linear,re_upload,9,36,16,sex,0.1642976588628762,0.2087301587301587,0.1513589910850184,0.255018372605712,0.0155459419875446,False
german_credit,L2_re_upload,7,XGBoost_stub,0.25,2,linear,re_upload,9,36,16,overall,0.1749620060790273,0.2311355311355311,0.1620674223968664,0.255018372605712,0.0155459419875446,False
german_credit,L2_re_upload,7,MLP,0.25,2,linear,re_upload,9,36,16,age,0.0,0.0,0.0,0.255018372605712,0.0155459419875446,False
german_credit,L2_re_upload,7,MLP,0.25,2,linear,re_upload,9,36,16,sex,0.0,0.0,0.0,0.255018372605712,0.0155459419875446,False
german_credit,L2_re_upload,7,MLP,0.25,2,linear,re_upload,9,36,16,overall,0.0,0.0,0.0,0.255018372605712,0.0155459419875446,False
german_credit,L2_re_upload,17,RandomForest,0.25,2,linear,re_upload,9,36,16,age,-0.0926904626392389,-0.1498850574712644,-0.0825182863113898,0.0727641421999985,0.0047404977968734,False
german_credit,L2_re_upload,17,RandomForest,0.25,2,linear,re_upload,9,36,16,sex,-0.0287555247883274,0.0448979591836735,-0.0423051187688189,0.0727641421999985,0.0047404977968734,False
german_credit,L2_re_upload,17,RandomForest,0.25,2,linear,re_upload,9,36,16,overall,-0.0341945288753798,-0.0068860877684406,-0.0377837032248796,0.0727641421999985,0.0047404977968734,False
