dataset,configuration,seed,model,batch_frac,n_layers,entangle,encoding_strategy,n_qubits,n_params,cnot_count,f1,accuracy,final_loss,best_loss
german_credit,L1_all_to_all,7,XGBoost_stub,0.25,1,all_to_all,single,9,18,36,0.2343096234309623,0.39,0.6356728026155498,0.6356728026155498
german_credit,L1_all_to_all,7,MLP,0.25,1,all_to_all,single,9,18,36,0.7780040733197556,0.6366666666666667,0.6356728026155498,0.6356728026155498
german_credit,L1_all_to_all,17,RandomForest,0.25,1,all_to_all,single,9,18,36,0.6632124352331606,0.5666666666666667,0.3565207989246862,0.3565207989246862
german_credit,L1_all_to_all,17,XGBoost_stub,0.25,1,all_to_all,single,9,18,36,0.7542372881355932,0.6133333333333333,0.3565207989246862,0.3565207989246862
german_credit,L1_all_to_all,17,MLP,0.25,1,all_to_all,single,9,18,36,0.0192307692307692,0.32,0.3565207989246862,0.3565207989246862
german_credit,L1_all_to_all,27,RandomForest,0.25,1,all_to_all,single,9,18,36,0.397212543554007,0.4233333333333333,0.2559977514887007,0.2559977514887007
german_credit,L1_all_to_all,27,XGBoost_stub,0.25,1,all_to_all,single,9,18,36,0.697560975609756,0.5866666666666667,0.2559977514887007,0.2559977514887007
german_credit,L1_all_to_all,27,MLP,0.25,1,all_to_all,single,9,18,36,0.7975951903807615,0.6633333333333333,0.2559977514887007,0.2559977514887007
german_credit,L2_all_to_all,7,RandomForest,0.25,2,all_to_all,single,9,36,72,0.5521472392638037,0.5133333333333333,0.387171272226208,0.387171272226208
german_credit,L2_all_to_all,7,XGBoost_stub,0.25,2,all_to_all,single,9,36,72,0.6797066014669927,0.5633333333333334,0.387171272226208,0.387171272226208
german_credit,L2_all_to_all,7,MLP,0.25,2,all_to_all,single,9,36,72,0.7780040733197556,0.6366666666666667,0.387171272226208,0.387171272226208
german_credit,L2_all_to_all,17,RandomForest,0.25,2,all_to_all,single,9,36,72,0.7230046948356808,0.6066666666666667,0.3855257357973367,0.3855257357973367
german_credit,L2_all_to_all,17,XGBoost_stub,0.25,2,all_to_all,single,9,36,72,0.7456140350877193,0.6133333333333333,0.3855257357973367,0.3855257357973367
german_credit,L2_all_to_all,17,MLP,0.25,2,all_to_all,single,9,36,72,0.0467289719626168,0.32,0.3855257357973367,0.3855257357973367
german_credit,L2_all_to_all,27,RandomForest,0.25,2,all_to_all,single,9,36,72,0.2343096234309623,0.39,0.369867792542006,0.369867792542006
german_credit,L2_all_to_all,27,XGBoost_stub,0.25,2,all_to_all,single,9,36,72,0.2343096234309623,0.39,0.369867792542006,0.369867792542006
german_credit,L2_all_to_all,27,MLP,0.25,2,all_to_all,single,9,36,72,0.7975951903807615,0.6633333333333333,0.369867792542006,0.369867792542006
german_credit,L2_re_upload,7,RandomForest,0.25,2,linear,re_upload,9,36,16,0.3507462686567164,0.42,0.5441959482751699,0.5441959482751699
german_credit,L2_re_upload,7,XGBoost_stub,0.25,2,linear,re_upload,9,36,16,0.282258064516129,0.4066666666666667,0.5441959482751699,0.5441959482751699
german_credit,L2_re_upload,7,MLP,0.25,2,linear,re_upload,9,36,16,0.7780040733197556,0.6366666666666667,0.5441959482751699,0.5441959482751699
german_credit,L2_re_upload,17,RandomForest,0.25,2,linear,re_upload,9,36,16,0.715261958997722,0.5833333333333334,0.6230453266434444,0.6230453266434444
german_credit,L2_re_upload,17,XGBoost_stub,0.25,2,linear,re_upload,9,36,16,0.6872037914691943,0.56,0.6230453266434444,0.6230453266434444
german_credit,L2_re_upload,17,MLP,0.25,2,linear,re_upload,9,36,16,0.1764705882352941,0.3466666666666667,0.6230453266434444,0.6230453266434444
german_credit,L2_re_upload,27,RandomForest,0.25,2,linear,re_upload,9,36,16,0.3146067415730337,0.39,0.5428263111324353,0.5428263111324353
german_credit,L2_re_upload,27,XGBoost_stub,0.25,2,linear,re_upload,9,36,16,0.3846153846153846,0.4133333333333333,0.5428263111324353,0.5428263111324353
german_credit,L2_re_upload,27,MLP,0.25,2,linear,re_upload,9,36,16,0.7975951903807615,0.6633333333333333,0.5428263111324353,0.5428263111324353
german_credit,L2_all_to_all_re_upload,7,RandomForest,0.25,2,all_to_all,re_upload,9,36,72,0.6960556844547564,0.5633333333333334,0.5499916119269501,0.5499916119269501
german_credit,L2_all_to_all_re_upload,7,XGBoost_stub,0.25,2,all_to_all,re_upload,9,36,72,0.3542435424354243,0.4166666666666667,0.5499916119269501,0.5499916119269501
german_credit,L2_all_to_all_re_upload,7,MLP,0.25,2,all_to_all,re_upload,9,36,72,0.7780040733197556,0.6366666666666667,0.5499916119269501,0.5499916119269501
german_credit,L2_all_to_all_re_upload,17,RandomForest,0.25,2,all_to_all,re_upload,9,36,72,0.7400881057268722,0.6066666666666667,0.2576917729781419,0.2576917729781419
german_credit,L2_all_to_all_re_upload,17,XGBoost_stub,0.25,2,all_to_all,re_upload,9,36,72,0.5257142857142857,0.4466666666666666,0.2576917729781419,0.2576917729781419
german_credit,L2_all_to_all_re_upload,17,MLP,0.25,2,all_to_all,re_upload,9,36,72,0.3745583038869258,0.41,0.2576917729781419,0.2576917729781419
german_credit,L2_all_to_all_re_upload,27,RandomForest,0.25,2,all_to_all,re_upload,9,36,72,0.3455882352941176,0.4066666666666667,0.5695063331011223,0.5695063331011223
german_credit,L2_all_to_all_re_upload,27,XGBoost_stub,0.25,2,all_to_all,re_upload,9,36,72,0.7104622871046229,0.6033333333333334,0.5695063331011223,0.5695063331011223
german_credit,L2_all_to_all_re_upload,27,MLP,0.25,2,all_to_all,re_upload,9,36,72,0.7975951903807615,0.6633333333333333,0.5695063331011223,0.5695063331011223
heart_disease,L1_linear,7,RandomForest,0.25,1,linear,single,10,20,9,0.5263157894736842,0.4,0.5569017109705756,0.5569017109705756
heart_disease,L1_linear,7,XGBoost_stub,0.25,1,linear,single,10,20,9,0.5217391304347826,0.5111111111111111,0.5569017109705756,0.5569017109705756
heart_disease,L1_linear,7,MLP,0.25,1,linear,single,10,20,9,0.0,0.5666666666666667,0.5569017109705756,0.5569017109705756
heart_disease,L1_linear,17,RandomForest,0.25,1,linear,single,10,20,9,0.6046511627906976,0.6222222222222222,0.5732757844678137,0.5732757844678137
heart_disease,L1_linear,17,XGBoost_stub,0.25,1,linear,single,10,20,9,0.6129032258064516,0.4666666666666667,0.5732757844678137,0.5732757844678137
heart_disease,L1_linear,17,MLP,0.25,1,linear,single,10,20,9,0.1224489795918367,0.5222222222222223,0.5732757844678137,0.5732757844678137
heart_disease,L1_linear,27,RandomForest,0.25,1,linear,single,10,20,9,0.5454545454545454,0.3888888888888889,0.5317163145379608,0.5300570448043488
