dataset,configuration,model,attribute,metric,n,statistic,p_value,note
german_credit,L1_linear,XGBoost_stub,sex,spd,3,0.8615384248111622,0.2718183104669417,descriptive only; n<8
german_credit,L1_linear,XGBoost_stub,sex,eod,3,0.8170524604532299,0.15589382823842646,descriptive only; n<8
german_credit,L1_linear,XGBoost_stub,sex,aod,3,0.9216920649191974,0.4583203309669498,descriptive only; n<8
german_credit,L1_linear,XGBoost_stub,sex,trace_distance_input,3,0.7824274757208429,0.07320365809675677,descriptive only; n<8
german_credit,L1_linear,XGBoost_stub,sex,qsp_diff_output,3,0.886310013224654,0.3431625244032638,descriptive only; n<8
german_credit,L2_all_to_all,MLP,age,spd,3,0.75,0.0,descriptive only; n<8
german_credit,L2_all_to_all,MLP,age,eod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_all_to_all,MLP,age,aod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_all_to_all,MLP,age,trace_distance_input,3,0.8417708926692645,0.21868390780765945,descriptive only; n<8
german_credit,L2_all_to_all,MLP,age,qsp_diff_output,3,0.8711701341439161,0.2988525657086142,descriptive only; n<8
german_credit,L2_all_to_all,MLP,overall,spd,3,0.75,0.0,descriptive only; n<8
german_credit,L2_all_to_all,MLP,overall,eod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_all_to_all,MLP,overall,aod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_all_to_all,MLP,overall,trace_distance_input,3,0.8417708926692645,0.21868390780765945,descriptive only; n<8
german_credit,L2_all_to_all,MLP,overall,qsp_diff_output,3,0.8711701341439161,0.2988525657086142,descriptive only; n<8
german_credit,L2_all_to_all,MLP,sex,spd,3,0.75,0.0,descriptive only; n<8
german_credit,L2_all_to_all,MLP,sex,eod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_all_to_all,MLP,sex,aod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_all_to_all,MLP,sex,trace_distance_input,3,0.8417708926692645,0.21868390780765945,descriptive only; n<8
german_credit,L2_all_to_all,MLP,sex,qsp_diff_output,3,0.8711701341439161,0.2988525657086142,descriptive only; n<8
german_credit,L2_all_to_all,RandomForest,age,spd,3,0.8449903401546588,0.22714299277477745,descriptive only; n<8
german_credit,L2_all_to_all,RandomForest,age,eod,3,0.9998914891903826,0.9801049179674113,descriptive only; n<8
