,,,,spd,spd,eod,eod,aod,aod,trace_distance_input,trace_distance_input,qsp_diff_output,qsp_diff_output
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,configuration,model,attribute,,,,,,,,,,
heart_disease,L1_all_to_all,XGBoost_stub,sex,-0.0034562211981566666,0.017709155052953205,-0.1010406841476451,0.19289014212108815,0.0022993292942358975,0.09330521848084028,0.09378858954186986,0.040929824494863216,0.14758256586660004,0.12388452312229914
heart_disease,L1_linear,MLP,age,0.0204081632653061,0.035347975664670926,0.03225806451612903,0.05587260669577023,0.0161290322580645,0.02793630334788509,0.013077822768314132,0.01481431771913642,0.005320768708353967,0.002538003472312866
heart_disease,L1_linear,MLP,overall,0.03225806451612903,0.05587260669577023,0.043478260869565195,0.07530655685082072,0.021739130434782598,0.03765327842541036,0.013077822768314132,0.01481431771913642,0.005320768708353967,0.002538003472312866
heart_disease,L1_linear,MLP,sex,0.016666666666666666,0.02886751345948129,0.0263157894736842,0.04558028440970728,0.0131578947368421,0.02279014220485364,0.013077822768314132,0.01481431771913642,0.005320768708353967,0.002538003472312866
heart_disease,L1_linear,RandomForest,age,0.048264201081956004,0.1112838346455998,0.0852888847512503,0.16501737414188214,0.0656734357993554,0.08715392304957695,0.013077822768314132,0.01481431771913642,0.005320768708353967,0.002538003472312866
heart_disease,L1_linear,RandomForest,overall,0.05157645343539274,0.11001211591232753,0.05530492898913947,0.07610812614211936,0.05956650799397906,0.07453889408284936,0.013077822768314132,0.01481431771913642,0.005320768708353967,0.002538003472312866
heart_disease,L1_linear,RandomForest,sex,-0.002892985151049633,0.11006453466602902,-0.037632836571716004,0.11725722620059233,-0.0222086353877525,0.06906398998089547,0.013077822768314132,0.01481431771913642,0.005320768708353967,0.002538003472312866
heart_disease,L1_linear,XGBoost_stub,age,-0.0810694758960173,0.1298552211660924,-0.14406326449337203,0.2548503700264081,-0.095215928457298,0.17742774729271377,0.013077822768314132,0.01481431771913642,0.005320768708353967,0.002538003472312866
heart_disease,L1_linear,XGBoost_stub,overall,-0.056314926189174365,0.049283095618698626,-0.0685427336457084,0.01978847918015686,-0.04480746577358733,0.07890396032118993,0.013077822768314132,0.01481431771913642,0.005320768708353967,0.002538003472312866
heart_disease,L1_linear,XGBoost_stub,sex,0.017639528929851465,0.06668795863867652,0.041294095453688,0.2955425095080616,0.0298461819259782,0.10177657037532417,0.013077822768314132,0.01481431771913642,0.005320768708353967,0.002538003472312866
heart_disease,L2_all_to_all,MLP,age,0.0,0.0,0.0,0.0,0.0,0.0,0.11612884904472372,0.028497749533430268,0.12626529222786745,0.10940474922328075
heart_disease,L2_all_to_all,MLP,overall,0.0,0.0,0.0,0.0,0.0,0.0,0.11612884904472372,0.028497749533430268,0.12626529222786745,0.10940474922328075
heart_disease,L2_all_to_all,MLP,sex,0.0,0.0,0.0,0.0,0.0,0.0,0.11612884904472372,0.028497749533430268,0.12626529222786745,0.10940474922328075
heart_disease,L2_all_to_all,RandomForest,age,-0.005041870213813869,0.25864200661645825,-0.13812316715542525,0.1212931728509039,-0.02846998706506347,0.15769699745639157,0.11612884904472372,0.028497749533430268,0.12626529222786745,0.10940474922328075
heart_disease,L2_all_to_all,RandomForest,overall,-0.025514853289593593,0.18876733787610506,-0.10061082658336656,0.0648201890090461,-0.01961175058582543,0.1067308512901477,0.11612884904472372,0.028497749533430268,0.12626529222786745,0.10940474922328075
heart_disease,L2_all_to_all,RandomForest,sex,0.003046594982078866,0.02888419699174112,0.053180217569012124,0.29655662021812884,0.0214977101437203,0.11075626574527203,0.11612884904472372,0.028497749533430268,0.12626529222786745,0.10940474922328075
heart_disease,L2_all_to_all,XGBoost_stub,age,-0.11009449571788606,0.06789886443237664,-0.12191112352402673,0.16176089518923184,-0.0845171366393777,0.08548919678999987,0.11612884904472372,0.028497749533430268,0.12626529222786745,0.10940474922328075
heart_disease,L2_all_to_all,XGBoost_stub,overall,-0.06342263531984683,0.005681960002959693,-0.0099851076967782,0.09620957683470666,-0.0226746120792278,0.04686873741775765,0.11612884904472372,0.028497749533430268,0.12626529222786745,0.10940474922328075
heart_disease,L2_all_to_all,XGBoost_stub,sex,0.034741423451100865,0.08784737714356862,0.1373482990630698,0.14567097663238707,0.08824892959018593,0.10016115460669446,0.11612884904472372,0.028497749533430268,0.12626529222786745,0.10940474922328075
heart_disease,L2_all_to_all_re_upload,MLP,age,0.0,0.0,0.0,0.0,0.0,0.0,0.2381968084159598,0.08381107112897726,0.19730698659043788,0.13549328952801376
heart_disease,L2_all_to_all_re_upload,MLP,overall,0.0,0.0,0.0,0.0,0.0,0.0,0.2381968084159598,0.08381107112897726,0.19730698659043788,0.13549328952801376
heart_disease,L2_all_to_all_re_upload,MLP,sex,0.0,0.0,0.0,0.0,0.0,0.0,0.2381968084159598,0.08381107112897726,0.19730698659043788,0.13549328952801376
heart_disease,L2_all_to_all_re_upload,RandomForest,age,-0.08592214481473685,0.18538557899825525,0.035129585667220055,0.3209636710592893,-0.03029363528797603,0.199200666893956,0.2381968084159598,0.08381107112897726,0.19730698659043788,0.13549328952801376
heart_disease,L2_all_to_all_re_upload,RandomForest,overall,-0.08365226899945323,0.19382696573182212,0.02858535226956273,0.25045370094327335,-0.03921211852854987,0.17797234691805655,0.2381968084159598,0.08381107112897726,0.19730698659043788,0.13549328952801376
heart_disease,L2_all_to_all_re_upload,RandomForest,sex,-0.043958013312851964,0.07445444635507312,0.017831541218638,0.11570085257084617,0.007430875576036865,0.07898431742487927,0.2381968084159598,0.08381107112897726,0.19730698659043788,0.13549328952801376
heart_disease,L2_all_to_all_re_upload,XGBoost_stub,age,0.0532540983230273,0.12767502271763903,0.05795642032201164,0.17626736380740993,0.062899150331946,0.12119748340334355,0.2381968084159598,0.08381107112897726,0.19730698659043788,0.13549328952801376
heart_disease,L2_all_to_all_re_upload,XGBoost_stub,overall,0.00236923637689083,0.07162244693604433,0.0011816982068697662,0.07665345522114984,0.009137857650443434,0.0477517495703003,0.2381968084159598,0.08381107112897726,0.19730698659043788,0.13549328952801376
heart_disease,L2_all_to_all_re_upload,XGBoost_stub,sex,-0.07089093701996924,0.05310169884762597,-0.09410016977928688,0.11948535460938546,-0.08088846872802731,0.09380283867934648,0.2381968084159598,0.08381107112897726,0.19730698659043788,0.13549328952801376
