dataset,configuration,model,attribute,metric,n,statistic,p_value,note
student_performance,L2_all_to_all,MLP,overall,spd,3,0.9821285599908499,0.7439155012794336,descriptive only; n<8
student_performance,L2_all_to_all,MLP,overall,eod,3,0.9877705066064826,0.788361435244071,descriptive only; n<8
student_performance,L2_all_to_all,MLP,overall,aod,3,0.9714048917710808,0.6754817816576226,descriptive only; n<8
student_performance,L2_all_to_all,MLP,overall,trace_distance_input,3,0.9042860254487646,0.3992775105427021,descriptive only; n<8
student_performance,L2_all_to_all,MLP,overall,qsp_diff_output,3,0.9999955814667166,0.9959854140265599,descriptive only; n<8
student_performance,L2_all_to_all,MLP,sex,spd,3,0.9775078785415339,0.7124865160329683,descriptive only; n<8
student_performance,L2_all_to_all,MLP,sex,eod,3,0.9088902900378295,0.4143872414556916,descriptive only; n<8
student_performance,L2_all_to_all,MLP,sex,aod,3,0.9975684935797242,0.9057860432546848,descriptive only; n<8
student_performance,L2_all_to_all,MLP,sex,trace_distance_input,3,0.9042860254487646,0.3992775105427021,descriptive only; n<8
student_performance,L2_all_to_all,MLP,sex,qsp_diff_output,3,0.9999955814667166,0.9959854140265599,descriptive only; n<8
student_performance,L2_all_to_all,RandomForest,age,spd,3,0.8793800141554342,0.3225834388536385,descriptive only; n<8
student_performance,L2_all_to_all,RandomForest,age,eod,3,0.9442646327833055,0.5448168824550779,descriptive only; n<8
student_performance,L2_all_to_all,RandomForest,age,aod,3,0.7555581455331118,0.012303566196110172,descriptive only; n<8
student_performance,L2_all_to_all,RandomForest,age,trace_distance_input,3,0.9042860254487646,0.3992775105427021,descriptive only; n<8
student_performance,L2_all_to_all,RandomForest,age,qsp_diff_output,3,0.9999955814667166,0.9959854140265599,descriptive only; n<8
student_performance,L2_all_to_all,RandomForest,overall,spd,3,0.8422572928609424,0.2199574002798348,descriptive only; n<8
student_performance,L2_all_to_all,RandomForest,overall,eod,3,0.911455780475717,0.4229553880416087,descriptive only; n<8
student_performance,L2_all_to_all,RandomForest,overall,aod,3,0.7874218015180626,0.08481133927824536,descriptive only; n<8
student_performance,L2_all_to_all,RandomForest,overall,trace_distance_input,3,0.9042860254487646,0.3992775105427021,descriptive only; n<8
student_performance,L2_all_to_all,RandomForest,overall,qsp_diff_output,3,0.9999955814667166,0.9959854140265599,descriptive only; n<8
student_performance,L2_all_to_all,RandomForest,sex,spd,3,0.9204336116031285,0.45386349771552104,descriptive only; n<8
student_performance,L2_all_to_all,RandomForest,sex,eod,3,0.8716364324481264,0.3001827470347501,descriptive only; n<8
student_performance,L2_all_to_all,RandomForest,sex,aod,3,0.9929872424538114,0.8398766378991487,descriptive only; n<8
student_performance,L2_all_to_all,RandomForest,sex,trace_distance_input,3,0.9042860254487646,0.3992775105427021,descriptive only; n<8
student_performance,L2_all_to_all,RandomForest,sex,qsp_diff_output,3,0.9999955814667166,0.9959854140265599,descriptive only; n<8
student_performance,L2_all_to_all,XGBoost_stub,age,spd,3,0.8709979761289457,0.29836197953886723,descriptive only; n<8
student_performance,L2_all_to_all,XGBoost_stub,age,eod,3,0.9986828901647887,0.9306721462175633,descriptive only; n<8
student_performance,L2_all_to_all,XGBoost_stub,age,aod,3,0.9268177808292359,0.47682204731391986,descriptive only; n<8
student_performance,L2_all_to_all,XGBoost_stub,age,trace_distance_input,3,0.9042860254487646,0.3992775105427021,descriptive only; n<8
student_performance,L2_all_to_all,XGBoost_stub,age,qsp_diff_output,3,0.9999955814667166,0.9959854140265599,descriptive only; n<8
student_performance,L2_all_to_all,XGBoost_stub,overall,spd,3,0.9175925633660553,0.4439186629362627,descriptive only; n<8
student_performance,L2_all_to_all,XGBoost_stub,overall,eod,3,0.8752959618028922,0.31069463637379335,descriptive only; n<8
student_performance,L2_all_to_all,XGBoost_stub,overall,aod,3,0.9997013671335375,0.9669940834509282,descriptive only; n<8
student_performance,L2_all_to_all,XGBoost_stub,overall,trace_distance_input,3,0.9042860254487646,0.3992775105427021,descriptive only; n<8
student_performance,L2_all_to_all,XGBoost_stub,overall,qsp_diff_output,3,0.9999955814667166,0.9959854140265599,descriptive only; n<8
student_performance,L2_all_to_all,XGBoost_stub,sex,spd,3,0.9237026245934707,0.4655093600654967,descriptive only; n<8
student_performance,L2_all_to_all,XGBoost_stub,sex,eod,3,0.8113189617036546,0.1418171092214835,descriptive only; n<8
student_performance,L2_all_to_all,XGBoost_stub,sex,aod,3,0.9486929660826219,0.5636093183302961,descriptive only; n<8
student_performance,L2_all_to_all,XGBoost_stub,sex,trace_distance_input,3,0.9042860254487646,0.3992775105427021,descriptive only; n<8
student_performance,L2_all_to_all,XGBoost_stub,sex,qsp_diff_output,3,0.9999955814667166,0.9959854140265599,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,MLP,age,spd,3,0.75,0.0,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,MLP,age,eod,3,0.75,0.0,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,MLP,age,aod,3,0.75,0.0,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,MLP,age,trace_distance_input,3,0.9669524420076244,0.6508655919119355,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,MLP,age,qsp_diff_output,3,0.9063347438676205,0.40595956032303016,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,MLP,overall,spd,3,0.75,0.0,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,MLP,overall,eod,3,0.75,0.0,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,MLP,overall,aod,3,0.75,0.0,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,MLP,overall,trace_distance_input,3,0.9669524420076244,0.6508655919119355,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,MLP,overall,qsp_diff_output,3,0.9063347438676205,0.40595956032303016,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,MLP,sex,spd,3,0.75,0.0,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,MLP,sex,eod,3,0.75,0.0,descriptive only; n<8
